reg_number,contract_info_id,status,customer,price,supplier_name,supplier_inn,supplier_kpp,supplier_address,supplier_phone,supplier_email,customer_group,customer_section,supplier_group,supplier_section,customer_group_name,customer_section_name,supplier_group_name,supplier_section_name
№ 1631702805226000037,108144943,Исполнение завершено,УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО САМАРСКОЙ ОБЛАСТИ,21500.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСКОМ"" (ООО ""АСКОМ"")",6670528573.0,667001001.0,,6670528573,,84,O,63,J,Государственное управление,Государственное управление и безопасность,Информационные технологии,Информация и связь
№ 2781701659326000007,108807270,Исполнение завершено,"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛИЗОВАННАЯ БИБЛИОТЕЧНАЯ СИСТЕМА КОЛПИНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА""",30148.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННАЯ ГРУППА ""РУСТИССЬЮ"" (ООО ""ПРОМЫШЛЕННАЯ ГРУППА ""РУСТИССЬЮ"")",7806268969.0,780601001.0,,7806268969,,63,J,46,G,Информационные технологии,Информация и связь,Оптовая торговля,Торговля оптовая и розничная
№ 1770989550926000780,108187341,Исполнение завершено,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ КАЗНАЧЕЙСТВА РОССИИ""",72000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИР САНТЕХНИКИ"" (ООО ""МИР САНТЕХНИКИ"")",5258063332.0,526201001.0,,5258063332,,84,O,46,G,Государственное управление,Государственное управление и безопасность,Оптовая торговля,Торговля оптовая и розничная
№ 2920402235125000007,104487257,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СЕВАСТОПОЛЯ ""ГОРОДСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА""",1747620.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНАЯ ОХРАННАЯ ОРГАНИЗАЦИЯ ""ЩИТ"" (ООО ЧОО ""ЩИТ"")",9104000925.0,910201001.0,,9104000925,,86,Q,80,N,Здравоохранение,Здравоохранение и социальные услуги,Охрана и безопасность,Административная деятельность
№ 1770408456025000038,104306137,Исполнение завершено,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР СТРАТЕГИЧЕСКОГО ПЛАНИРОВАНИЯ И УПРАВЛЕНИЯ МЕДИКО-БИОЛОГИЧЕСКИМИ РИСКАМИ ЗДОРОВЬЮ"" ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА",11996819.32,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР РАДИОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ (ФГБУ ""НМИЦ РАДИОЛОГИИ"" МИНЗДРАВА РОССИИ)",7714042070.0,402501001.0,,7714042070,,84,O,86,Q,Государственное управление,Государственное управление и безопасность,Здравоохранение,Здравоохранение и социальные услуги
№ 2774301310823000006,104285100,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА МОСКВЫ ""ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА № 98""",502680.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСЭНЕРГОСБЫТ"" (АО ""МОСЭНЕРГОСБЫТ"")КПП крупнейшегоналогоплательщика:",7736520080.0,773601001.0,,7736520080,,85,P,35,D,Образование,Образование,"Электроэнергия, газ и пар","Электроэнергия, газ и пар"
№ 3440110690026000107,108172721,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА КОСТРОМЫ ""КОСТРОМАСТРОЙЗАКАЗЧИК""",24400.0,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КОСТРОМСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННАЯ ЭКСПЕРТИЗА КОСТРОМСКОЙ ОБЛАСТИ"" (ГАУ ""КОСТРОМАГОСЭКСПЕРТИЗА"")",4401074247.0,440101001.0,,4401074247,,41,F,43,F,Строительство зданий,Строительство,Специализированные строительные работы,Строительство
№ 1780207241125000002,109261032,Исполнение завершено,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ЦЕНТР ПОСЛЕДИПЛОМНОГО ОБРАЗОВАНИЯ РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ ФМБА РОССИИ""",430404.22,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СЕВЕРО-ЗАПАДНЫЙ ОКРУЖНОЙ НАУЧНО-КЛИНИЧЕСКИЙ ЦЕНТР ИМЕНИ Л.Г. СОКОЛОВА ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА"" (ФГБУ СЗОНКЦ ИМ. Л.Г. СОКОЛОВА ФМБА РОССИИ)",7802048200.0,780201001.0,,7802048200,,86,Q,86,Q,Здравоохранение,Здравоохранение и социальные услуги,Здравоохранение,Здравоохранение и социальные услуги
№ 3434549824025000001,106240879,Исполнение завершено,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 77"" ГОРОДА КИРОВА",307445.49,"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" (МУП ""ВОДОКАНАЛ"")",4345000249.0,434501001.0,,4345000249,,85,P,36,E,Образование,Образование,Водоснабжение,"Водоснабжение, водоотведение, утилизация отходов"
№ 2081404556125000004,109060747,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КАЛМЫКИЯ ""РЕСПУБЛИКАНСКИЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""",4640308.92,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСЕРВИС"" (АО ""ЭНЕРГОСЕРВИС"")",816008251.0,81601001.0,,0816008251,,86,Q,35,D,Здравоохранение,Здравоохранение и социальные услуги,"Электроэнергия, газ и пар","Электроэнергия, газ и пар"
№ 3645004916625000036,103037468,Исполнение завершено,"КОМИТЕТ ПО ЖИЛИЩНО-КОММУНАЛЬНОМУ ХОЗЯЙСТВУ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД САРАТОВ""",662255.42,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛГАПРОЕКТИНЖИНИРИНГ"" (ООО ""ВОЛГАПРОЕКТИНЖИНИРИНГ"")",6454124495.0,645401001.0,,6454124495,,46,G,43,F,Оптовая торговля,Торговля оптовая и розничная,Специализированные строительные работы,Строительство
№ 2526003994726000019,108499457,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""НИЖЕГОРОДСКАЯ ГОСУДАРСТВЕННАЯ ОБЛАСТНАЯ УНИВЕРСАЛЬНАЯ НАУЧНАЯ БИБЛИОТЕКА ИМ. В.И.ЛЕНИНА""",8858.61,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИЗДАТЕЛЬСТВО ""ЭКСМО"" (ООО ""ИЗДАТЕЛЬСТВО ""ЭКСМО"")",7708188426.0,771401001.0,,7708188426,,91,R,58,J,"Библиотеки, музеи, архивы","Культура, спорт, досуг",Издательская деятельность,Информация и связь
№ 3440110690026000045,107328253,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА КОСТРОМЫ ""КОСТРОМАСТРОЙЗАКАЗЧИК""",24400.0,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КОСТРОМСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННАЯ ЭКСПЕРТИЗА КОСТРОМСКОЙ ОБЛАСТИ"" (ГАУ ""КОСТРОМАГОСЭКСПЕРТИЗА"")",4401074247.0,440101001.0,,4401074247,,41,F,43,F,Строительство зданий,Строительство,Специализированные строительные работы,Строительство
№ 2971002595125000056,109125567,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ГЛАВНОЕ АРХИТЕКТУРНО-ПЛАНИРОВОЧНОЕ УПРАВЛЕНИЕ МОСКОМАРХИТЕКТУРЫ""",1427538.26,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАНЦАЙЛЕНД"" (ООО ""КАНЦАЙЛЕНД"")",7726416643.0,772601001.0,,7726416643,,71,M,46,G,Архитектура и инжиниринг,"Профессиональная, научная и техническая деятельность",Оптовая торговля,Торговля оптовая и розничная
№ 3434549824025000002,106659996,Исполнение завершено,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 77"" ГОРОДА КИРОВА",1873295.73,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТЕПЛОСНАБЖАЮЩАЯ КОМПАНИЯ ""АЗБУКА БЫТА"" (ООО ТК ""АЗБУКА БЫТА"")",4345506148.0,434501001.0,,4345506148,,85,P,35,D,Образование,Образование,"Электроэнергия, газ и пар","Электроэнергия, газ и пар"
№ 2772765679025000777,99472064,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АВТОМОБИЛЬНЫЕ ДОРОГИ""",53943.01,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ"" (АО ""ОЭК"")",7720522853.0,770501001.0,,7720522853,,81,N,35,D,Обслуживание зданий и территорий,Административная деятельность,"Электроэнергия, газ и пар","Электроэнергия, газ и пар"
№ 3090000813026000070,109062101,Исполнение завершено,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ КАРАЧАЕВСКОГО ГОРОДСКОГО ОКРУГА""",8720.0,БОТАШЕВА МАРИНА ХАНАФИЕВНА,916900634.0,,,091690063476,,84,O,IP,IP,Государственное управление,Государственное управление и безопасность,ИП / Физлицо,ИП / Физлицо
№ 2100600225325000214,103694464,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАРЕЛИЯ ""СЕГЕЖСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",369296.68,ДЕВКИН АЛЕКСАНДР АЛЕКСАНДРОВИЧ,7610226241.0,,,761022624107,,86,Q,IP,IP,Здравоохранение,Здравоохранение и социальные услуги,ИП / Физлицо,ИП / Физлицо
№ 2110148607526000009,109045198,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КОМИ ""РЕСПУБЛИКАНСКАЯ ВЕТЕРИНАРНАЯ ЛАБОРАТОРИЯ""",42755.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИП ЛАБ"" (АО ""ВИП ЛАБ"")",9701292189.0,770101001.0,,9701292189,,84,O,46,G,Государственное управление,Государственное управление и безопасность,Оптовая торговля,Торговля оптовая и розничная
№ 3100401877026000004,108501224,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КОСТОМУКШСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ""ЦЕНТР КУЛЬТУРНОГО РАЗВИТИЯ ""СРЕДА""",234900.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭДВЕНЧЕ"" (ООО ""ЭДВЕНЧЕ"")",7804381616.0,780201001.0,,7804381616,,90,R,46,G,Творчество и искусство,"Культура, спорт, досуг",Оптовая торговля,Торговля оптовая и розничная
№ 2350100194925000101,105031962,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""БАБАЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",47916.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛНА"" (ООО ""ВОЛНА"")",6230114532.0,623001001.0,,6230114532,,86,Q,46,G,Здравоохранение,Здравоохранение и социальные услуги,Оптовая торговля,Торговля оптовая и розничная
№ 1631702805226000045,107970416,Исполнение завершено,УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО САМАРСКОЙ ОБЛАСТИ,133733.64,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЦТО ""ВИКТЕЛ"" (ООО ЦТО ""ВИКТЕЛ"")",6318222077.0,631801001.0,,6318222077,,84,O,63,J,Государственное управление,Государственное управление и безопасность,Информационные технологии,Информация и связь
№ 2263001970226000013,107717626,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""КРАЕВАЯ КУМАГОРСКАЯ БОЛЬНИЦА""",20226.6,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКАЯ ТЕХНИКА И ОБОРУДОВАНИЕ"" (ООО ""МТО"")",2631802930.0,263101001.0,,2631802930,,86,Q,86,Q,Здравоохранение,Здравоохранение и социальные услуги,Здравоохранение,Здравоохранение и социальные услуги
№ 2524700618826000068,109018354,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ВЫКСУНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",25463.71,ФИЛИППОВ БОРИС БОРИСОВИЧ,5243008612.0,,,524300861251,,86,Q,IP,IP,Здравоохранение,Здравоохранение и социальные услуги,ИП / Физлицо,ИП / Физлицо
№ 2312318082424000043,96583156,Исполнение завершено,УПРАВЛЕНИЕ ЭКОЛОГИЧЕСКОГО И ОХОТНИЧЬЕГО НАДЗОРА БЕЛГОРОДСКОЙ ОБЛАСТИ,39929.43,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛОВИК"" (ООО ""ТЕПЛОВИК"")",3100034721.0,310001001.0,,3100034721,,38,E,35,D,Утилизация отходов,"Водоснабжение, водоотведение, утилизация отходов","Электроэнергия, газ и пар","Электроэнергия, газ и пар"
№ 3612202051025000002,97342470,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ МЯСНИКОВСКОГО РАЙОНА""",23544.56,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОЦЕНТР"" (ООО ""ЭКОЦЕНТР"")",3444177534.0,770301001.0,,3444177534,,10,C,38,E,Производство пищевых продуктов,Обрабатывающие производства,Утилизация отходов,"Водоснабжение, водоотведение, утилизация отходов"
№ 1432200492026000015,108978445,Исполнение завершено,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 17 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО КИРОВСКОЙ ОБЛАСТИ""",109274.63,ШАРАФУТДИНОВ ЕВГЕНИЙ РИТОВИЧ,6607044097.0,,,660704409740,,84,O,IP,IP,Государственное управление,Государственное управление и безопасность,ИП / Физлицо,ИП / Физлицо
№ 2631907755225000422,104301348,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ  УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САМАРСКИЙ ОБЛАСТНОЙ КЛИНИЧЕСКИЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",750857.11,ТЕРЕХИН МАКСИМ ДМИТРИЕВИЧ,5410076654.0,,,541007665421,,86,Q,IP,IP,Здравоохранение,Здравоохранение и социальные услуги,ИП / Физлицо,ИП / Физлицо
№ 1631702805226000008,106214136,Исполнение завершено,УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО САМАРСКОЙ ОБЛАСТИ,2241705.4,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТД ""АЛЬФАКОМ СБ"" (ООО ТД ""АЛЬФАКОМ СБ"")",5410059014.0,540501001.0,,5410059014,,84,O,46,G,Государственное управление,Государственное управление и безопасность,Оптовая торговля,Торговля оптовая и розничная
№ 3230202337525000010,108135666,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ГОРОДСКОЙ ДВОРЕЦ КУЛЬТУРЫ""",84000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЖСЕРВИС"" (ООО ""ПОЖСЕРВИС"")",2302054790.0,230201001.0,,2302054790,,90,R,80,N,Творчество и искусство,"Культура, спорт, досуг",Охрана и безопасность,Административная деятельность
№ 3440110690026000065,107603268,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА КОСТРОМЫ ""КОСТРОМАСТРОЙЗАКАЗЧИК""",24400.0,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КОСТРОМСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННАЯ ЭКСПЕРТИЗА КОСТРОМСКОЙ ОБЛАСТИ"" (ГАУ ""КОСТРОМАГОСЭКСПЕРТИЗА"")",4401074247.0,440101001.0,,4401074247,,41,F,43,F,Строительство зданий,Строительство,Специализированные строительные работы,Строительство
№ 3434549824020000003,106487824,Исполнение завершено,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 77"" ГОРОДА КИРОВА",7825126.9,"Кировский филиал акционерного общества ""ЭнергосбыТ Плюс""",5612042824.0,434543001.0,,5612042824,,85,P,35,D,Образование,Образование,"Электроэнергия, газ и пар","Электроэнергия, газ и пар"
