reg_number,contract_info_id,status,customer,price,supplier_name,supplier_inn,supplier_kpp,supplier_address,supplier_phone,supplier_email
№ 1631702805226000037,108144943,Исполнение завершено,УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО САМАРСКОЙ ОБЛАСТИ,21500.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСКОМ"" (ООО ""АСКОМ"")",6670528573,667001001,,6670528573,
№ 2781701659326000007,108807270,Исполнение завершено,"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРАЛИЗОВАННАЯ БИБЛИОТЕЧНАЯ СИСТЕМА КОЛПИНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА""",30148.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННАЯ ГРУППА ""РУСТИССЬЮ"" (ООО ""ПРОМЫШЛЕННАЯ ГРУППА ""РУСТИССЬЮ"")",7806268969,780601001,,7806268969,
№ 1770989550926000780,108187341,Исполнение завершено,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ КАЗНАЧЕЙСТВА РОССИИ""",72000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИР САНТЕХНИКИ"" (ООО ""МИР САНТЕХНИКИ"")",5258063332,526201001,,5258063332,
№ 2920402235125000007,104487257,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СЕВАСТОПОЛЯ ""ГОРОДСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА""",1747620.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНАЯ ОХРАННАЯ ОРГАНИЗАЦИЯ ""ЩИТ"" (ООО ЧОО ""ЩИТ"")",9104000925,910201001,,9104000925,
№ 1770408456025000038,104306137,Исполнение завершено,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР СТРАТЕГИЧЕСКОГО ПЛАНИРОВАНИЯ И УПРАВЛЕНИЯ МЕДИКО-БИОЛОГИЧЕСКИМИ РИСКАМИ ЗДОРОВЬЮ"" ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА",11996819.32,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР РАДИОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ (ФГБУ ""НМИЦ РАДИОЛОГИИ"" МИНЗДРАВА РОССИИ)",7714042070,402501001,,7714042070,
№ 2774301310823000006,104285100,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА МОСКВЫ ""ДЕТСКАЯ МУЗЫКАЛЬНАЯ ШКОЛА № 98""",502680.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСЭНЕРГОСБЫТ"" (АО ""МОСЭНЕРГОСБЫТ"")КПП крупнейшегоналогоплательщика:",7736520080,773601001,,7736520080,
№ 3440110690026000107,108172721,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА КОСТРОМЫ ""КОСТРОМАСТРОЙЗАКАЗЧИК""",24400.0,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КОСТРОМСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННАЯ ЭКСПЕРТИЗА КОСТРОМСКОЙ ОБЛАСТИ"" (ГАУ ""КОСТРОМАГОСЭКСПЕРТИЗА"")",4401074247,440101001,,4401074247,
№ 1780207241125000002,109261032,Исполнение завершено,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ЦЕНТР ПОСЛЕДИПЛОМНОГО ОБРАЗОВАНИЯ РАБОТНИКОВ ЗДРАВООХРАНЕНИЯ ФМБА РОССИИ""",430404.22,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СЕВЕРО-ЗАПАДНЫЙ ОКРУЖНОЙ НАУЧНО-КЛИНИЧЕСКИЙ ЦЕНТР ИМЕНИ Л.Г. СОКОЛОВА ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА"" (ФГБУ СЗОНКЦ ИМ. Л.Г. СОКОЛОВА ФМБА РОССИИ)",7802048200,780201001,,7802048200,
№ 3434549824025000001,106240879,Исполнение завершено,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 77"" ГОРОДА КИРОВА",307445.49,"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" (МУП ""ВОДОКАНАЛ"")",4345000249,434501001,,4345000249,
№ 2081404556125000004,109060747,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КАЛМЫКИЯ ""РЕСПУБЛИКАНСКИЙ ПРОТИВОТУБЕРКУЛЕЗНЫЙ ДИСПАНСЕР""",4640308.92,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭНЕРГОСЕРВИС"" (АО ""ЭНЕРГОСЕРВИС"")",0816008251,081601001,,0816008251,
№ 3645004916625000036,103037468,Исполнение завершено,"КОМИТЕТ ПО ЖИЛИЩНО-КОММУНАЛЬНОМУ ХОЗЯЙСТВУ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД САРАТОВ""",662255.42,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛГАПРОЕКТИНЖИНИРИНГ"" (ООО ""ВОЛГАПРОЕКТИНЖИНИРИНГ"")",6454124495,645401001,,6454124495,
№ 2526003994726000019,108499457,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""НИЖЕГОРОДСКАЯ ГОСУДАРСТВЕННАЯ ОБЛАСТНАЯ УНИВЕРСАЛЬНАЯ НАУЧНАЯ БИБЛИОТЕКА ИМ. В.И.ЛЕНИНА""",8858.61,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИЗДАТЕЛЬСТВО ""ЭКСМО"" (ООО ""ИЗДАТЕЛЬСТВО ""ЭКСМО"")",7708188426,771401001,,7708188426,
№ 3440110690026000045,107328253,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА КОСТРОМЫ ""КОСТРОМАСТРОЙЗАКАЗЧИК""",24400.0,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КОСТРОМСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННАЯ ЭКСПЕРТИЗА КОСТРОМСКОЙ ОБЛАСТИ"" (ГАУ ""КОСТРОМАГОСЭКСПЕРТИЗА"")",4401074247,440101001,,4401074247,
№ 2971002595125000056,109125567,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ГЛАВНОЕ АРХИТЕКТУРНО-ПЛАНИРОВОЧНОЕ УПРАВЛЕНИЕ МОСКОМАРХИТЕКТУРЫ""",1427538.26,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАНЦАЙЛЕНД"" (ООО ""КАНЦАЙЛЕНД"")",7726416643,772601001,,7726416643,
№ 3434549824025000002,106659996,Исполнение завершено,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 77"" ГОРОДА КИРОВА",1873295.73,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТЕПЛОСНАБЖАЮЩАЯ КОМПАНИЯ ""АЗБУКА БЫТА"" (ООО ТК ""АЗБУКА БЫТА"")",4345506148,434501001,,4345506148,
№ 2772765679025000777,99472064,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""АВТОМОБИЛЬНЫЕ ДОРОГИ""",53943.01,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ"" (АО ""ОЭК"")",7720522853,770501001,,7720522853,
№ 3090000813026000070,109062101,Исполнение завершено,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ КАРАЧАЕВСКОГО ГОРОДСКОГО ОКРУГА""",8720.0,БОТАШЕВА МАРИНА ХАНАФИЕВНА,0916900634,,,091690063476,
№ 2100600225325000214,103694464,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАРЕЛИЯ ""СЕГЕЖСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",369296.68,ДЕВКИН АЛЕКСАНДР АЛЕКСАНДРОВИЧ,7610226241,,,761022624107,
№ 2110148607526000009,109045198,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КОМИ ""РЕСПУБЛИКАНСКАЯ ВЕТЕРИНАРНАЯ ЛАБОРАТОРИЯ""",42755.0,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИП ЛАБ"" (АО ""ВИП ЛАБ"")",9701292189,770101001,,9701292189,
№ 3100401877026000004,108501224,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КОСТОМУКШСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ""ЦЕНТР КУЛЬТУРНОГО РАЗВИТИЯ ""СРЕДА""",234900.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭДВЕНЧЕ"" (ООО ""ЭДВЕНЧЕ"")",7804381616,780201001,,7804381616,
№ 2350100194925000101,105031962,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""БАБАЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",47916.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛНА"" (ООО ""ВОЛНА"")",6230114532,623001001,,6230114532,
№ 1631702805226000045,107970416,Исполнение завершено,УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО САМАРСКОЙ ОБЛАСТИ,133733.64,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЦТО ""ВИКТЕЛ"" (ООО ЦТО ""ВИКТЕЛ"")",6318222077,631801001,,6318222077,
№ 2263001970226000013,107717626,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""КРАЕВАЯ КУМАГОРСКАЯ БОЛЬНИЦА""",20226.6,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКАЯ ТЕХНИКА И ОБОРУДОВАНИЕ"" (ООО ""МТО"")",2631802930,263101001,,2631802930,
№ 2524700618826000068,109018354,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ВЫКСУНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",25463.71,ФИЛИППОВ БОРИС БОРИСОВИЧ,5243008612,,,524300861251,
№ 2312318082424000043,96583156,Исполнение завершено,УПРАВЛЕНИЕ ЭКОЛОГИЧЕСКОГО И ОХОТНИЧЬЕГО НАДЗОРА БЕЛГОРОДСКОЙ ОБЛАСТИ,39929.43,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛОВИК"" (ООО ""ТЕПЛОВИК"")",3100034721,310001001,,3100034721,
№ 3612202051025000002,97342470,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ МЯСНИКОВСКОГО РАЙОНА""",23544.56,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОЦЕНТР"" (ООО ""ЭКОЦЕНТР"")",3444177534,770301001,,3444177534,
№ 1432200492026000015,108978445,Исполнение завершено,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 17 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО КИРОВСКОЙ ОБЛАСТИ""",109274.63,ШАРАФУТДИНОВ ЕВГЕНИЙ РИТОВИЧ,6607044097,,,660704409740,
№ 2631907755225000422,104301348,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ  УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САМАРСКИЙ ОБЛАСТНОЙ КЛИНИЧЕСКИЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",750857.11,ТЕРЕХИН МАКСИМ ДМИТРИЕВИЧ,5410076654,,,541007665421,
№ 1631702805226000008,106214136,Исполнение завершено,УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО САМАРСКОЙ ОБЛАСТИ,2241705.4,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТД ""АЛЬФАКОМ СБ"" (ООО ТД ""АЛЬФАКОМ СБ"")",5410059014,540501001,,5410059014,
№ 3230202337525000010,108135666,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ГОРОДСКОЙ ДВОРЕЦ КУЛЬТУРЫ""",84000.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЖСЕРВИС"" (ООО ""ПОЖСЕРВИС"")",2302054790,230201001,,2302054790,
№ 3440110690026000065,107603268,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА КОСТРОМЫ ""КОСТРОМАСТРОЙЗАКАЗЧИК""",24400.0,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КОСТРОМСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННАЯ ЭКСПЕРТИЗА КОСТРОМСКОЙ ОБЛАСТИ"" (ГАУ ""КОСТРОМАГОСЭКСПЕРТИЗА"")",4401074247,440101001,,4401074247,
№ 3434549824020000003,106487824,Исполнение завершено,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 77"" ГОРОДА КИРОВА",7825126.9,"Кировский филиал акционерного общества ""ЭнергосбыТ Плюс""",5612042824,434543001,,5612042824,
№ 2350100194925000104,103938880,Исполнение завершено,"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ВОЛОГОДСКОЙ ОБЛАСТИ ""БАБАЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",53311.05,КАРПОВА ТАТЬЯНА ГЕОРГИЕВНА,3528255177,,,352825517700,
№ 2773409151926000333,109049826,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 67 ИМЕНИ Л. А. ВОРОХОБОВА ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""",90899.87,Кордонский Антон Юрьевич,8902021528,,,890202152809,
№ 3471500603025000148,107852913,Исполнение завершено,"ЛЕНИНГРАДСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ТИХВИНСКИЙ КОМПЛЕКСНЫЙ ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ""",2297635.8,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНКЛЮЗИВНОЕ ОБОРУДОВАНИЕ"" (ООО ""ИНКЛЮЗИВНОЕ ОБОРУДОВАНИЕ"")",0800003515,080001001,,0800003515,
№ 3440110690026000085,107920736,Исполнение завершено,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА КОСТРОМЫ ""КОСТРОМАСТРОЙЗАКАЗЧИК""",24400.0,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КОСТРОМСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННАЯ ЭКСПЕРТИЗА КОСТРОМСКОЙ ОБЛАСТИ"" (ГАУ ""КОСТРОМАГОСЭКСПЕРТИЗА"")",4401074247,440101001,,4401074247,
№ 2164402885725000066,99985090,Исполнение завершено,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""АЛЬМЕТЬЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",564255.84,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКТИМЕД"" (ООО ""АКТИМЕД"")",1658122916,165801001,,1658122916,
№ 2631907755225000396,103515962,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ  УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САМАРСКИЙ ОБЛАСТНОЙ КЛИНИЧЕСКИЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР""",23700.0,ЗЛОБИНА ТАТЬЯНА ВАЛЕНТИНОВНА,6671128434,,,667112843415,
№ 2056001459924000031,89974312,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ДАГЕСТАН ""МАХАЧКАЛИНСКИЙ РОДИЛЬНЫЙ ДОМ № 2 ИМ. Р.А. КАРИМОВА""",1781250.0,ДАДИЛОВ МАГОМЕД МАГОМЕДОВИЧ,0528895795,,,052889579541,
№ 3230905324126000001,108196586,Исполнение завершено,АДМИНИСТРАЦИЯ ЦЕНТРАЛЬНОГО ВНУТРИГОРОДСКОГО ОКРУГА ГОРОДА КРАСНОДАРА,40300.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АППРОМ-ХОЛДИНГ"" (ООО ""АППРОМ-ХОЛДИНГ"")",5906184557,590601001,,5906184557,
№ 2440101477726000008,108253324,Исполнение завершено,"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОЛОДЕЖНЫЙ  ЦЕНТР ""КОСТРОМА""",56350.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕФ - СОДЕЙСТВИЕ"" (ООО ""ДЕФ - СОДЕЙСТВИЕ"")",5610243148,561401001,,5610243148,
№ 1370256104126000004,107909442,Исполнение завершено,УПРАВЛЕНИЕ МИНИСТЕРСТВА ЮСТИЦИИ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ИВАНОВСКОЙ ОБЛАСТИ,19879.62,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛИГРАФПРОМ"" (ООО ""ПОЛИГРАФПРОМ"")",5258122958,525701001,,5258122958,
