reg_number,contract_info_id,status,customer,price,supplier_name,supplier_inn,supplier_kpp,supplier_address,supplier_phone,supplier_email
№ 2774306899626000032,108661844,Исполнение завершено,УПРАВА ГОЛОВИНСКОГО РАЙОНА ГОРОДА МОСКВЫ,"159 809,80 ₽",ЗАХАРОВ ДЕНИС АЛЕКСЕЕВИЧИндивидуальный предпринимательИНН:526321253917,526321253917,,"431776, РЕСПУБЛИКА МОРДОВИЯ, Р-Н Дубенский, С. Чиндяново, УЛ. Пролетарская, Д.20,","431776, Республика Мордовия, Р-Н Дубенский, С. Чиндяново, УЛ. Пролетарская, Д.20",
№ 2782001928026000010,108255787,Исполнение завершено,"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦАРСКОСЕЛЬСКИЙ КАМЕРНЫЙ ХОР ""ПЕТЕРБУРГСКИЕ СЕРЕНАДЫ""","19 896,48 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОВИ ОУ"" (ООО ""ОВИ ОУ"")ИНН:7840063270КПП:784001001",7840063270,784001001,"191040, Г.САНКТ-ПЕТЕРБУРГ, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ ВЛАДИМИРСКИЙ ОКРУГ, УЛ МАРАТА, Д. 26/11, ЛИТЕРА А, ПОМ. 7Н ОФИС 2","191040, Г САНКТ-ПЕТЕРБУРГ, УЛ МАРАТА, ДОМ 26/11, ЛИТЕР А, ПОМ. 7Н ОФИС 2",
№ 2780214770926000010,108584437,Исполнение завершено,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 65 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ФРАНЦУЗСКОГО ЯЗЫКА ВЫБОРГСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,"167 500,00 ₽",ПОПОВ МИХАИЛ СЕРГЕЕВИЧИндивидуальный предпринимательИНН:031702035710,031702035710,,"196628, Г.Санкт-Петербург, Санкт-Петербург, П ШУШАРЫ, Изборская, 3, к1, 627","Г.Санкт-Петербург, П ШУШАРЫ",
№ 2502406865625003361,106235094,Исполнение завершено,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ЕДИНОГО ЗАКАЗЧИКА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ""","131 801,56 ₽","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФИРМА ЕВРОСЕРВИС"" (АО ""ФИРМА ЕВРОСЕРВИС"")ИНН:7731241639КПП:500301001КПП крупнейшегоналогоплательщика:774950001",7731241639,500301001,"142717, МОСКОВСКАЯ ОБЛАСТЬ, г.о. ЛЕНИНСКИЙ, П РАЗВИЛКА, ТЕР КВАРТАЛ 1, ВЛД. 7, ПОМЕЩ. КАБИНЕТ 160","142717, РОССИЯ, МОСКОВСКАЯ ОБЛ., ЛЕНИНСКИЙ Г.О., РАЗВИЛКА П., ТЕР. КВАРТАЛ 1, ВЛД. 7",
№ 2502406865626000941,108542546,Исполнение завершено,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ЕДИНОГО ЗАКАЗЧИКА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ""","377 713,92 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕКА ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ"" (ООО ""ТЕКА ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ"")ИНН:9705141840КПП:770501001",9705141840,770501001,"115035, Г.Москва, УЛ. САДОВНИЧЕСКАЯ, Д. 72, СТР. 1, Э/ПОМ/К/ОФ 1/III/5/Б1Я","115035, ГОРОД МОСКВА, УЛ. САДОВНИЧЕСКАЯ, Д. 72, СТР. 1, Э/ПОМ/К/ОФ 1/III/5/Б1Я",
№ 2502406865626000490,107728082,Исполнение завершено,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ЕДИНОГО ЗАКАЗЧИКА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ""","977 762,40 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТД ТЕХНОЛОГИИ"" (ООО ""ТД ТЕХНОЛОГИИ"")ИНН:9718121287КПП:771801001",9718121287,771801001,"107497, Г.МОСКВА, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ ГОЛЬЯНОВО, УЛ ИРКУТСКАЯ, Д. 11, К. 1, ЭТАЖ,ПОМЕЩЕНИЕ,КОМНАТА,ОФИС, 1,V,82,136","107497, Г МОСКВА77, УЛ ИРКУТСКАЯ, ДОМ 11, КОРПУС 1, ПОМ V КОМ 82 ОФ 136",
№ 2502406865626000498,107730238,Исполнение завершено,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ЕДИНОГО ЗАКАЗЧИКА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ""","43 028 280,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТД ТЕХНОЛОГИИ"" (ООО ""ТД ТЕХНОЛОГИИ"")ИНН:9718121287КПП:771801001",9718121287,771801001,"107497, Г.МОСКВА, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ ГОЛЬЯНОВО, УЛ ИРКУТСКАЯ, Д. 11, К. 1, ЭТАЖ,ПОМЕЩЕНИЕ,КОМНАТА,ОФИС, 1,V,82,136","107497, Г МОСКВА77, УЛ ИРКУТСКАЯ, ДОМ 11, КОРПУС 1, ПОМ V КОМ 82 ОФ 136",
№ 2781106597126000008,107145015,Исполнение завершено,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД №39 НЕВСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,"20 113,80 ₽",ПОДМАРЕВ СЕРГЕЙ ВЯЧЕСЛАВОВИЧИндивидуальный предпринимательИНН:637770331105,637770331105,,"446600, САМАРСКАЯ ОБЛАСТЬ, м.р-н. НЕФТЕГОРСКИЙ, НЕФТЕГОРСК, Г НЕФТЕГОРСК, УЛ МОЛОДЕЖНАЯ, Д. 16, КВ. 29","446600, обл. Самарская, г. Нефтегорск, р-н. Нефтегорский, ул. Молодежная, д.16, кв.29",
№ 2502406865626000901,108463168,Исполнение завершено,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ЕДИНОГО ЗАКАЗЧИКА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ""","79 272,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕКА ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ"" (ООО ""ТЕКА ЛЕКАРСТВЕННЫЕ ПРЕПАРАТЫ"")ИНН:9705141840КПП:770501001",9705141840,770501001,"115035, Г.Москва, УЛ. САДОВНИЧЕСКАЯ, Д. 72, СТР. 1, Э/ПОМ/К/ОФ 1/III/5/Б1Я","115035, ГОРОД МОСКВА, УЛ. САДОВНИЧЕСКАЯ, Д. 72, СТР. 1, Э/ПОМ/К/ОФ 1/III/5/Б1Я",
№ 2781106661526000008,107194095,Исполнение завершено,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД №123 КОМБИНИРОВАННОГО ВИДА НЕВСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,"28 159,32 ₽",ПОДМАРЕВ СЕРГЕЙ ВЯЧЕСЛАВОВИЧИндивидуальный предпринимательИНН:637770331105,637770331105,,"446600, САМАРСКАЯ ОБЛАСТЬ, м.р-н. НЕФТЕГОРСКИЙ, НЕФТЕГОРСК, Г НЕФТЕГОРСК, УЛ МОЛОДЕЖНАЯ, Д. 16, КВ. 29","446600, обл. Самарская, г. Нефтегорск, р-н. Нефтегорский, ул. Молодежная, д.16, кв.29",
№ 2502406865626000914,108503015,Исполнение завершено,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ЕДИНОГО ЗАКАЗЧИКА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ""","1 391 653,75 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МС ГРУПП"" (ООО ""МС ГРУПП"")ИНН:5036106240КПП:503601001",5036106240,503601001,"142103, МОСКОВСКАЯ ОБЛАСТЬ, Г. ПОДОЛЬСК, УЛ. ЖЕЛЕЗНОДОРОЖНАЯ, Д. 1, СТР. 4 СКЛАДСКОЙ КОМПЛЕКС, ПОЕЩЕНИЕ 5 ЧАСТЬ","142103, г.Подольск, ул.Железнодорожная, д.1, строение 4",
№ 2502406865626000762,108368011,Исполнение завершено,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ЕДИНОГО ЗАКАЗЧИКА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ""","48 223,20 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНА-ПЛЮС"" (ООО ""МЕДИЦИНА-ПЛЮС"")ИНН:7726426970КПП:772601001",7726426970,772601001,"117105, Г.МОСКВА, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ НАГОРНЫЙ, Ш ВАРШАВСКОЕ, Д. 26","117105, г. Москва, шоссе Варшавское, дом 26",
№ 2771941686825000068,103341408,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛИНАЯ ГОРА""","607 936,29 ₽",ШЕЛМАКОВА АНАСТАСИЯ ДЕНИСОВНАИндивидуальный предпринимательИНН:772351121192,772351121192,,"109369, Г.МОСКВА, Москва, УЛ ПЕРЕРВА, Д. 40, КВ. 73","109369, Г.Москва",
№ 2590618179625000024,107329919,Исполнение завершено,"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ДОРОЖНО-ЭКСПЛУАТАЦИОННАЯ СЛУЖБА"" ПЕРМСКОГО КРАЯ","7 253 000,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПИТАЛ СК"" (ООО ""КАПИТАЛ СК"")ИНН:5906066874КПП:772301001",5906066874,772301001,"109044, Г.МОСКВА, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ ЮЖНОПОРТОВЫЙ, УЛ МЕЛЬНИКОВА, Д. 14, КВ. 18","614022, КРАЙ ПЕРМСКИЙ59, Г ПЕРМЬ, УЛ ОЛЕГА КОШЕВОГО, ДОМ 29",
№ 2771941686825000054,107356238,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛИНАЯ ГОРА""","313 764,91 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИОНТРЕЙД"" (ООО ""ЮНИОНТРЕЙД"")ИНН:7728740765КПП:772801001",7728740765,772801001,"117437, Г.МОСКВА, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ КОНЬКОВО, УЛ АКАДЕМИКА АРЦИМОВИЧА, Д. 17, ПОМЕЩ. 3/1","117437, Г.МОСКВА, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ КОНЬКОВО, УЛ АКАДЕМИКА АРЦИМОВИЧА, Д. 17, ПОМЕЩ. 3/1",
№ 2023400142626000020,108864012,Исполнение завершено,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ БАШКОРТОСТАН КУШНАРЕНКОВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА,"136 382,00 ₽","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФИРМА ЕВРОСЕРВИС"" (АО ""ФИРМА ЕВРОСЕРВИС"")ИНН:7731241639КПП:500301001КПП крупнейшегоналогоплательщика:774950001",7731241639,500301001,"142717, МОСКОВСКАЯ ОБЛАСТЬ, г.о. ЛЕНИНСКИЙ, П РАЗВИЛКА, ТЕР КВАРТАЛ 1, ВЛД. 7, ПОМЕЩ. КАБИНЕТ 160","142717, РОССИЯ, МОСКОВСКАЯ ОБЛ., ЛЕНИНСКИЙ Г.О., РАЗВИЛКА П., ТЕР. КВАРТАЛ 1, ВЛД. 7",
№ 3666100295325000138,105572880,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ ИМЕНИ В.Ф.КАПИНОСА ГОРОД ЕКАТЕРИНБУРГ""","94 920,00 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТРЕЙД"" (ООО ""СИТРЕЙД"")ИНН:5401328567КПП:540601001",5401328567,540601001,"630004, НОВОСИБИРСКАЯ ОБЛАСТЬ, г.о. ГОРОД НОВОСИБИРСК, Г НОВОСИБИРСК, ПР-КТ КОМСОМОЛЬСКИЙ, Д. 1, К. 2","630110, Российская Федерация, г. Новосибирск, ул. Писемского, дом 24/4, пом.15",
№ 2771941686825000053,102653641,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА СОКОЛИНАЯ ГОРА""","165 549,57 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЯЗАНСКОЕ ПРЕДПРИЯТИЕ ПРОМПЛАСТКОМПЛЕКТ"" (ООО ""РЯЗАНСКОЕ ПРЕДПРИЯТИЕ ПРОМПЛАСТКОМПЛЕКТ"")ИНН:6228013150КПП:623401001",6228013150,623401001,"390005, ОБЛАСТЬ РЯЗАНСКАЯ, Г. РЯЗАНЬ, УЛ. С.СЕРЕДЫ, Д.29","390005, ОБЛ РЯЗАНСКАЯ, Г РЯЗАНЬ, УЛ С.СЕРЕДЫ, 29",
№ 2110148703026000009,108285693,Исполнение завершено,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""РЕСПУБЛИКАНСКИЙ ВРАЧЕБНО-ФИЗКУЛЬТУРНЫЙ ДИСПАНСЕР""","3 967,79 ₽","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДТЕРРИТОРИЯ"" (ООО ""МЕДТЕРРИТОРИЯ"")ИНН:9721172683КПП:772101001",9721172683,772101001,"109431, Г.МОСКВА, вн.тер.г. МУНИЦИПАЛЬНЫЙ ОКРУГ ВЫХИНО-ЖУЛЕБИНО, УЛ ПРИВОЛЬНАЯ, Д. 70, ПОМЕЩ. 6/Н","109431, Г.Москва, УЛ ПРИВОЛЬНАЯ",
№ 2772830080626000015,108135061,Исполнение завершено,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ДЕТСКИЙ БРОНХОЛЕГОЧНЫЙ САНАТОРИЙ № 15 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""","16 979,40 ₽",ГОРИСЛАВЕЦ ГЕРМАН АНДРЕЕВИЧИндивидуальный предпринимательИНН:673211398700,673211398700,,"214030, СМОЛЕНСКАЯ ОБЛАСТЬ, г.о. ГОРОД СМОЛЕНСК, Г СМОЛЕНСК, УЛ ВОИНОВ-ИНТЕРНАЦИОНАЛИСТОВ, Д. 2, КВ. 43","214030, СМОЛЕНСКАЯ ОБЛАСТЬ, г.о. ГОРОД СМОЛЕНСК, Г СМОЛЕНСК, УЛ ВОИНОВ-ИНТЕРНАЦИОНАЛИСТОВ, Д. 2, КВ. 43",
